skill
python
java
c++
c
sql
mysql
postgresql
mongodb
aws
azure
gcp
docker
kubernetes
git
github
html
css
javascript
typescript
react
angular
nodejs
express
django
flask
spring
machine learning
deep learning
tensorflow
pytorch
nlp
computer vision
data analysis
power bi
tableau
excel
linux
rest api
microservices
agile
scrum
selenium
testing
data structures
algorithms
oop
